id,uk,ru,en
language,Мова,Язык,Language
fullscreen,Повноекранний,Полноэкранный,FullScreen
exit,Вихід,Выход,Exit
settings,Налаштування,Настройки,Settings
continue,Продовжити,Продолжить,Continue
new_game,Нова гра,Новая игра,New Game
back,Повернутись,Назад,Back
music_volume,Гучність музики,Громкость музыки,Music volume
speed_scroll_camera,Швидкість наближення камери,Скорость приближения камеры,Camera zoom step
bug_joystick,Управління з мобільного пристрою містить баги,Управление с мобильного устройства содержит баги,Mobile device control contains bugs
shovel,Лопата,Лопата,Shovel
can,Лійка,Лейка,Can
Shovel1x1,Лопата1x1,Лопата1x1,Shovel1x1
Shovel2x2,Лопата2x2,Лопата2x2,Shovel2x2
Shovel3x3,Лопата3x3,Лопата3x3,Shovel3x3
Can1x1,Лійка1x1,Лейка1x1,Can1x1
Can2x2,Лійка2x2,Лейка2x2,Can2x2
Can3x3,Лійка3x3,Лейка3x3,Can3x3
remove,Прибрати,Убрать,Put away
potato_seeds,Насіння картоплі,Семечки картофеля,Potato seeds
carrot_seeds,Насіння моркви,Семечки моркови,Carrot seeds
burak_seeds,Насіння буряку,Семечки свеклы,beetroot seeds
close,Зачинити,Закрыть,Close
joy_stick,Джойстик,Джойстик,Joystick
Go to Root_Menu,Перейти в меню,Перейти в меню,Go to menu
music,Музика,Музика,Music
Paused,Пауза,Пауза,Paused
faq_1,Щоб набрати воду підійди до колодязя,Чтобы набрать воду подойди к колодцу,Go to the well to get water
faq_2,"Це порт, тут ти можеш продавати коренеплоди.","Это порт,  тут ты можешь продавать корнеплоды.",This is a port where you can sell root crops.
faq_3,"Це магазин інструментів, придбай лопату!","Это магазин инструментов, купи лопату!","It's a tool store, buy a shovel!"